steps, fid
1024, 0.003571280903693963
256, 0.003574357196151068
128, 0.003584050559173324
64, 0.003617544917991933
32, 0.0037594543517294188
16, 0.006427480256914309
8, 0.10010621315727508
4, 10.481654134211112
2, 10.398240039067979

