timestamp,image_index,image_shape,label_shape,generated_images,duration_seconds,memory_before_mb,memory_after_mb,memory_delta_mb,input_image_mb,generated_images_mb,generated_labels_mb
2026-06-11T16:23:43,48,"(28, 28)","(8,)",20,0.000152,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,49,"(28, 28)","(8,)",20,0.00015,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,50,"(28, 28)","(8,)",20,0.000155,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,51,"(28, 28)","(8,)",20,0.000146,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,52,"(28, 28)","(8,)",20,0.000217,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,53,"(28, 28)","(8,)",20,0.000164,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,54,"(28, 28)","(8,)",20,0.000148,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,55,"(28, 28)","(8,)",20,0.000182,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,56,"(28, 28)","(8,)",20,0.000153,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,57,"(28, 28)","(8,)",20,0.000165,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,58,"(28, 28)","(8,)",20,0.000144,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,59,"(28, 28)","(8,)",20,0.000145,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,60,"(28, 28)","(8,)",20,0.000147,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,61,"(28, 28)","(8,)",20,0.000143,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,62,"(28, 28)","(8,)",20,0.000144,2894.934,2894.934,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,63,"(28, 28)","(8,)",20,0.000154,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,64,"(28, 28)","(8,)",20,0.000152,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,65,"(28, 28)","(8,)",20,0.000308,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,66,"(28, 28)","(8,)",20,0.00015,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,67,"(28, 28)","(8,)",20,0.000152,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,68,"(28, 28)","(8,)",20,0.000149,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,69,"(28, 28)","(8,)",20,0.000156,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,70,"(28, 28)","(8,)",20,0.000145,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,71,"(28, 28)","(8,)",20,0.000145,2894.938,2894.938,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,72,"(28, 28)","(8,)",20,0.000167,2894.938,2894.941,0.004,0.002991,0.059814,0.001526
2026-06-11T16:23:43,73,"(28, 28)","(8,)",20,0.000146,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,74,"(28, 28)","(8,)",20,0.000146,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,75,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,76,"(28, 28)","(8,)",20,0.000153,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,77,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,78,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,79,"(28, 28)","(8,)",20,0.000142,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,80,"(28, 28)","(8,)",20,0.000145,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,81,"(28, 28)","(8,)",20,0.000143,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,82,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,83,"(28, 28)","(8,)",20,0.000144,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,84,"(28, 28)","(8,)",20,0.000147,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,85,"(28, 28)","(8,)",20,0.000155,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,86,"(28, 28)","(8,)",20,0.000146,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
2026-06-11T16:23:43,87,"(28, 28)","(8,)",20,0.000146,2894.941,2894.941,0.0,0.002991,0.059814,0.001526
