epoch,loss,best_loss,stored
1,0.9350224411889407,0.9350224411889407,True
2,0.5779995936741827,0.5779995936741827,True
3,0.3006830948386258,0.3006830948386258,True
4,0.19784827221401863,0.19784827221401863,True
5,0.16358515235652799,0.16358515235652799,True
6,0.14620392898698217,0.14620392898698217,True
7,0.13210928574037017,0.13210928574037017,True
8,0.12214572149543566,0.12214572149543566,True
9,0.11919337764488906,0.11919337764488906,True
10,0.11127653283694587,0.11127653283694587,True
11,0.11258171783150724,0.11127653283694587,False
12,0.11145998636982983,0.11127653283694587,False
13,0.10224064746741583,0.10224064746741583,True
14,0.09722921720543888,0.09722921720543888,True
15,0.09384779267299732,0.09384779267299732,True
16,0.08808383298673149,0.08808383298673149,True
17,0.08486035239150586,0.08486035239150586,True
18,0.07863057805317213,0.07863057805317213,True
19,0.07324491348656659,0.07324491348656659,True
20,0.07066546264334443,0.07066546264334443,True
21,0.06847018681042934,0.06847018681042934,True
22,0.06334699050814756,0.06334699050814756,True
23,0.06702326842421046,0.06334699050814756,False
24,0.0593249188811551,0.0593249188811551,True
25,0.05636673263512909,0.05636673263512909,True
26,0.05098897717185355,0.05098897717185355,True
27,0.053425246954299094,0.05098897717185355,False
28,0.05190584312390016,0.05098897717185355,False
29,0.053658934564392774,0.05098897717185355,False
30,0.0535179932605238,0.05098897717185355,False
31,0.04852851247621061,0.04852851247621061,True
32,0.04681817196616519,0.04681817196616519,True
33,0.045135192677079314,0.045135192677079314,True
34,0.04557873328445637,0.045135192677079314,False
35,0.0412860879770318,0.0412860879770318,True
36,0.042060524368564174,0.0412860879770318,False
37,0.03995187174570695,0.03995187174570695,True
38,0.04146111872875452,0.03995187174570695,False
39,0.04162458176028577,0.03995187174570695,False
40,0.04263111073453999,0.03995187174570695,False
41,0.041548373171939795,0.03995187174570695,False
42,0.039962574431167235,0.03995187174570695,False
43,0.03831190075427244,0.03831190075427244,True
44,0.035959197228579716,0.035959197228579716,True
45,0.037041365143937806,0.035959197228579716,False
46,0.037208827931635595,0.035959197228579716,False
47,0.03795643811896418,0.035959197228579716,False
48,0.03559076463740864,0.03559076463740864,True
49,0.03385416524479046,0.03385416524479046,True
50,0.03479263776133853,0.03385416524479046,False
51,0.031181408194485758,0.031181408194485758,True
52,0.034942546454129836,0.031181408194485758,False
53,0.03368759044542132,0.031181408194485758,False
54,0.036588712877305064,0.031181408194485758,False
55,0.03350827964463525,0.031181408194485758,False
56,0.032852049788874266,0.031181408194485758,False
57,0.030176163071707514,0.030176163071707514,True
58,0.03090583536092789,0.030176163071707514,False
59,0.03027962879358627,0.030176163071707514,False
60,0.03229451443585239,0.030176163071707514,False
61,0.03223566555950485,0.030176163071707514,False
62,0.029583315402751352,0.029583315402751352,True
63,0.033704877763499515,0.029583315402751352,False
64,0.03049771908821603,0.029583315402751352,False
65,0.030907421950269888,0.029583315402751352,False
66,0.03223442100305561,0.029583315402751352,False
67,0.030678922042839167,0.029583315402751352,False
68,0.030644670125017127,0.029583315402751352,False
69,0.030486473245409866,0.029583315402751352,False
70,0.030755617055543475,0.029583315402751352,False
71,0.02859055879375217,0.02859055879375217,True
72,0.02867291811162369,0.02859055879375217,False
73,0.032221192894849114,0.02859055879375217,False
74,0.02640787578908651,0.02640787578908651,True
75,0.028695691500593503,0.02640787578908651,False
76,0.029185440495310896,0.02640787578908651,False
77,0.02933508390227791,0.02640787578908651,False
78,0.026847724023043272,0.02640787578908651,False
79,0.027785027081925002,0.02640787578908651,False
80,0.02756588039542385,0.02640787578908651,False
81,0.02797441341168101,0.02640787578908651,False
82,0.032405833913166184,0.02640787578908651,False
83,0.026538069499165057,0.02640787578908651,False
84,0.024452443017409002,0.024452443017409002,True
85,0.026085819511245938,0.024452443017409002,False
86,0.02547749834484619,0.024452443017409002,False
87,0.027008521726058783,0.024452443017409002,False
88,0.03222691146850302,0.024452443017409002,False
89,0.026099970662547167,0.024452443017409002,False
90,0.025542398840493398,0.024452443017409002,False
91,0.02774762295777594,0.024452443017409002,False
92,0.02571874541180715,0.024452443017409002,False
93,0.02483955992066743,0.024452443017409002,False
94,0.02424604416015321,0.02424604416015321,True
95,0.02634302543645556,0.02424604416015321,False
96,0.02750668482037479,0.02424604416015321,False
97,0.025321367405073392,0.02424604416015321,False
98,0.02490316384976459,0.02424604416015321,False
99,0.024861821143738586,0.02424604416015321,False
100,0.024089355808123058,0.024089355808123058,True
